algorithm,feature_set,training_condition,balanced_accuracy,roc_auc,sensitivity,specificity,precision,f1,tn,fp,fn,tp,real_only_balanced_accuracy,balanced_accuracy_delta_vs_real_only
decision_tree,clinical,real_only,0.8660714285714286,0.904017857142857,0.875,0.8571428571428571,0.875,0.875,12,2,2,14,0.8660714285714286,0.0
decision_tree,clinical_imaging,real_only,0.7455357142857143,0.734375,0.5625,0.9285714285714286,0.9,0.6923076923076923,13,1,7,9,0.7455357142857143,0.0
logistic_regression,clinical,real_only,0.8080357142857143,0.9508928571428572,0.6875,0.9285714285714286,0.9166666666666666,0.7857142857142857,13,1,5,11,0.8080357142857143,0.0
logistic_regression,clinical_imaging,real_only,0.8080357142857143,0.9598214285714286,0.6875,0.9285714285714286,0.9166666666666666,0.7857142857142857,13,1,5,11,0.8080357142857143,0.0
random_forest,clinical,real_only,0.84375,0.9598214285714285,0.6875,1.0,1.0,0.8148148148148148,14,0,5,11,0.84375,0.0
random_forest,clinical_imaging,real_only,0.7767857142857143,0.9375,0.625,0.9285714285714286,0.9090909090909091,0.7407407407407407,13,1,6,10,0.7767857142857143,0.0
svm,clinical,real_only,0.8035714285714286,0.9508928571428572,0.75,0.8571428571428571,0.8571428571428571,0.8,12,2,4,12,0.8035714285714286,0.0
svm,clinical_imaging,real_only,0.7767857142857143,0.9464285714285714,0.625,0.9285714285714286,0.9090909090909091,0.7407407407407407,13,1,6,10,0.7767857142857143,0.0
xgboost,clinical,real_only,0.8660714285714286,0.9330357142857143,0.875,0.8571428571428571,0.875,0.875,12,2,2,14,0.8660714285714286,0.0
xgboost,clinical_imaging,real_only,0.8392857142857143,0.9330357142857143,0.75,0.9285714285714286,0.9230769230769231,0.8275862068965517,13,1,4,12,0.8392857142857143,0.0
decision_tree,clinical,real_plus_synthetic,0.9017857142857143,0.9062499999999999,0.875,0.9285714285714286,0.9333333333333333,0.9032258064516129,13,1,2,14,0.8660714285714286,0.0357142857142857
decision_tree,clinical_imaging,real_plus_synthetic,0.9330357142857143,0.9218749999999999,0.9375,0.9285714285714286,0.9375,0.9375,13,1,1,15,0.7455357142857143,0.1875
logistic_regression,clinical,real_plus_synthetic,0.8392857142857143,0.9553571428571428,0.75,0.9285714285714286,0.9230769230769231,0.8275862068965517,13,1,4,12,0.8080357142857143,0.03125
logistic_regression,clinical_imaging,real_plus_synthetic,0.8125,0.9151785714285714,0.625,1.0,1.0,0.7692307692307693,14,0,6,10,0.8080357142857143,0.004464285714285698
random_forest,clinical,real_plus_synthetic,0.9017857142857143,0.9598214285714286,0.875,0.9285714285714286,0.9333333333333333,0.9032258064516129,13,1,2,14,0.84375,0.0580357142857143
random_forest,clinical_imaging,real_plus_synthetic,0.7767857142857143,0.9151785714285714,0.625,0.9285714285714286,0.9090909090909091,0.7407407407407407,13,1,6,10,0.7767857142857143,0.0
svm,clinical,real_plus_synthetic,0.8080357142857143,0.8526785714285714,0.6875,0.9285714285714286,0.9166666666666666,0.7857142857142857,13,1,5,11,0.8035714285714286,0.004464285714285698
svm,clinical_imaging,real_plus_synthetic,0.84375,0.9241071428571428,0.6875,1.0,1.0,0.8148148148148148,14,0,5,11,0.7767857142857143,0.0669642857142857
xgboost,clinical,real_plus_synthetic,0.8705357142857143,0.9464285714285714,0.8125,0.9285714285714286,0.9285714285714286,0.8666666666666667,13,1,3,13,0.8660714285714286,0.004464285714285698
xgboost,clinical_imaging,real_plus_synthetic,0.9017857142857143,0.9017857142857143,0.875,0.9285714285714286,0.9333333333333333,0.9032258064516129,13,1,2,14,0.8392857142857143,0.0625
