algorithm,feature_set,training_condition,feature,scoring,importance_mean,importance_std,n_repeats
logistic_regression,clinical,real_only,age,balanced_accuracy,0.0,0.0,100
logistic_regression,clinical,real_only,education_years,balanced_accuracy,0.0271875,0.03318075664609148,100
logistic_regression,clinical,real_only,ses,balanced_accuracy,-0.04754464285714285,0.05334914822852548,100
logistic_regression,clinical,real_only,mmse,balanced_accuracy,0.24209821428571432,0.08675166283400154,100
logistic_regression,clinical,real_only,sex,balanced_accuracy,-0.0321875,0.02357459901567787,100
svm,clinical,real_only,age,balanced_accuracy,-0.008392857142857132,0.02827186710119716,100
svm,clinical,real_only,education_years,balanced_accuracy,0.056026785714285765,0.03734755899155329,100
svm,clinical,real_only,ses,balanced_accuracy,-0.07508928571428569,0.04367422373526003,100
svm,clinical,real_only,mmse,balanced_accuracy,0.2501785714285715,0.07768093181963863,100
svm,clinical,real_only,sex,balanced_accuracy,-0.01749999999999999,0.017853571071357117,100
decision_tree,clinical,real_only,age,balanced_accuracy,0.08508928571428573,0.046884862907957396,100
decision_tree,clinical,real_only,education_years,balanced_accuracy,0.09629464285714291,0.044204341824044154,100
decision_tree,clinical,real_only,ses,balanced_accuracy,0.01642857142857148,0.023375811674219427,100
decision_tree,clinical,real_only,mmse,balanced_accuracy,0.2814285714285715,0.07823823426573741,100
decision_tree,clinical,real_only,sex,balanced_accuracy,0.12316964285714288,0.055126590026353645,100
random_forest,clinical,real_only,age,balanced_accuracy,0.0240625,0.022032912171340402,100
random_forest,clinical,real_only,education_years,balanced_accuracy,0.03455357142857142,0.03274863196239139,100
random_forest,clinical,real_only,ses,balanced_accuracy,-0.003125,0.025579227412101408,100
random_forest,clinical,real_only,mmse,balanced_accuracy,0.2980357142857143,0.08261732149630906,100
random_forest,clinical,real_only,sex,balanced_accuracy,0.004910714285714277,0.029562202019898752,100
xgboost,clinical,real_only,age,balanced_accuracy,0.020758928571428577,0.03179608954866517,100
xgboost,clinical,real_only,education_years,balanced_accuracy,0.057812500000000024,0.03961094577099174,100
xgboost,clinical,real_only,ses,balanced_accuracy,-0.022499999999999964,0.03127499000799203,100
xgboost,clinical,real_only,mmse,balanced_accuracy,0.33508928571428576,0.08307127694679688,100
xgboost,clinical,real_only,sex,balanced_accuracy,-0.0021874999999999924,0.033020598617161896,100
logistic_regression,clinical_imaging,real_only,age,balanced_accuracy,0.014821428571428567,0.02953778710985199,100
logistic_regression,clinical_imaging,real_only,education_years,balanced_accuracy,0.0007589285714285721,0.018856574243997438,100
logistic_regression,clinical_imaging,real_only,ses,balanced_accuracy,-0.04111607142857143,0.04808305139022375,100
logistic_regression,clinical_imaging,real_only,mmse,balanced_accuracy,0.16816964285714284,0.08145102437545661,100
logistic_regression,clinical_imaging,real_only,etiv,balanced_accuracy,0.025312500000000012,0.0494591885911702,100
logistic_regression,clinical_imaging,real_only,nwbv,balanced_accuracy,-0.05607142857142857,0.038976665900175164,100
logistic_regression,clinical_imaging,real_only,asf,balanced_accuracy,-0.01995535714285714,0.03909988007412843,100
logistic_regression,clinical_imaging,real_only,sex,balanced_accuracy,0.006696428571428584,0.036918860114348855,100
svm,clinical_imaging,real_only,age,balanced_accuracy,0.00026785714285713637,0.03396860889565721,100
svm,clinical_imaging,real_only,education_years,balanced_accuracy,-0.00013392857142857428,0.029480886827532082,100
svm,clinical_imaging,real_only,ses,balanced_accuracy,-0.081875,0.035530890735085315,100
svm,clinical_imaging,real_only,mmse,balanced_accuracy,0.16191964285714286,0.07974682665540457,100
svm,clinical_imaging,real_only,etiv,balanced_accuracy,-0.0159375,0.015621874687437483,100
svm,clinical_imaging,real_only,nwbv,balanced_accuracy,-0.09254464285714287,0.036464525105902305,100
svm,clinical_imaging,real_only,asf,balanced_accuracy,-0.021160714285714283,0.01561377147565179,100
svm,clinical_imaging,real_only,sex,balanced_accuracy,0.02107142857142858,0.03529372920829667,100
decision_tree,clinical_imaging,real_only,age,balanced_accuracy,0.0,0.0,100
decision_tree,clinical_imaging,real_only,education_years,balanced_accuracy,0.0,0.0,100
decision_tree,clinical_imaging,real_only,ses,balanced_accuracy,0.0,0.0,100
decision_tree,clinical_imaging,real_only,mmse,balanced_accuracy,0.22473214285714288,0.07457420586987465,100
decision_tree,clinical_imaging,real_only,etiv,balanced_accuracy,0.0,0.0,100
decision_tree,clinical_imaging,real_only,nwbv,balanced_accuracy,0.0,0.0,100
decision_tree,clinical_imaging,real_only,asf,balanced_accuracy,0.036160714285714296,0.04816672588149269,100
decision_tree,clinical_imaging,real_only,sex,balanced_accuracy,0.031071428571428594,0.05672601871257661,100
random_forest,clinical_imaging,real_only,age,balanced_accuracy,-0.012857142857142852,0.017142857142857133,100
random_forest,clinical_imaging,real_only,education_years,balanced_accuracy,-0.0037499999999999955,0.020658792662827954,100
random_forest,clinical_imaging,real_only,ses,balanced_accuracy,-0.013571428571428562,0.01733523014215942,100
random_forest,clinical_imaging,real_only,mmse,balanced_accuracy,0.22758928571428572,0.08743159680514798,100
random_forest,clinical_imaging,real_only,etiv,balanced_accuracy,-0.01892857142857142,0.017824971019239678,100
random_forest,clinical_imaging,real_only,nwbv,balanced_accuracy,-0.03959821428571428,0.03710278036194504,100
random_forest,clinical_imaging,real_only,asf,balanced_accuracy,-0.021785714285714276,0.017419640568938848,100
random_forest,clinical_imaging,real_only,sex,balanced_accuracy,0.0,0.0,100
xgboost,clinical_imaging,real_only,age,balanced_accuracy,0.04,0.019304306514350625,100
xgboost,clinical_imaging,real_only,education_years,balanced_accuracy,-0.005,0.0215239691971532,100
xgboost,clinical_imaging,real_only,ses,balanced_accuracy,-0.0190625,0.015242185497821498,100
xgboost,clinical_imaging,real_only,mmse,balanced_accuracy,0.2834375,0.08989412130545918,100
xgboost,clinical_imaging,real_only,etiv,balanced_accuracy,0.03584821428571428,0.022458995729065075,100
xgboost,clinical_imaging,real_only,nwbv,balanced_accuracy,-0.034866071428571434,0.03460149754006763,100
xgboost,clinical_imaging,real_only,asf,balanced_accuracy,0.02625,0.02284458360312133,100
xgboost,clinical_imaging,real_only,sex,balanced_accuracy,0.01375,0.015512092057488571,100
