algorithm,feature_set,training_condition,feature,output_scale,mean_absolute_shap
decision_tree,clinical,real_only,age,class_1_probability,0.04288667192482406
decision_tree,clinical,real_only,education_years,class_1_probability,0.05296249427061898
decision_tree,clinical,real_only,mmse,class_1_probability,0.2788269939344446
decision_tree,clinical,real_only,ses,class_1_probability,0.0521117112205756
decision_tree,clinical,real_only,sex,class_1_probability,0.09621312133293489
decision_tree,clinical_imaging,real_only,age,class_1_probability,0.0
decision_tree,clinical_imaging,real_only,asf,class_1_probability,0.05216847286457619
decision_tree,clinical_imaging,real_only,education_years,class_1_probability,0.0
decision_tree,clinical_imaging,real_only,etiv,class_1_probability,0.0
decision_tree,clinical_imaging,real_only,mmse,class_1_probability,0.2562736599769727
decision_tree,clinical_imaging,real_only,nwbv,class_1_probability,0.06565132917080554
decision_tree,clinical_imaging,real_only,ses,class_1_probability,0.0
decision_tree,clinical_imaging,real_only,sex,class_1_probability,0.09125996257093244
random_forest,clinical,real_only,age,class_1_probability,0.007271817337726455
random_forest,clinical,real_only,education_years,class_1_probability,0.028579505050888562
random_forest,clinical,real_only,mmse,class_1_probability,0.1342495814812961
random_forest,clinical,real_only,ses,class_1_probability,0.007549743860334372
random_forest,clinical,real_only,sex,class_1_probability,0.044628725858769834
random_forest,clinical_imaging,real_only,age,class_1_probability,0.004741956743586225
random_forest,clinical_imaging,real_only,asf,class_1_probability,0.006250501677343616
random_forest,clinical_imaging,real_only,education_years,class_1_probability,0.01486922152606371
random_forest,clinical_imaging,real_only,etiv,class_1_probability,0.005409573140863031
random_forest,clinical_imaging,real_only,mmse,class_1_probability,0.16313623612508368
random_forest,clinical_imaging,real_only,nwbv,class_1_probability,0.05570317758780614
random_forest,clinical_imaging,real_only,ses,class_1_probability,0.004275611389826315
random_forest,clinical_imaging,real_only,sex,class_1_probability,0.026284353545069073
xgboost,clinical,real_only,age,raw_margin,0.06088683285440008
xgboost,clinical,real_only,education_years,raw_margin,0.14639918953180314
xgboost,clinical,real_only,mmse,raw_margin,1.1366998786727587
xgboost,clinical,real_only,ses,raw_margin,0.14296936566631
xgboost,clinical,real_only,sex,raw_margin,0.372072513649861
xgboost,clinical_imaging,real_only,age,raw_margin,0.09128667130135
xgboost,clinical_imaging,real_only,asf,raw_margin,0.05060786117489139
xgboost,clinical_imaging,real_only,education_years,raw_margin,0.09779890909170111
xgboost,clinical_imaging,real_only,etiv,raw_margin,0.08807147263238828
xgboost,clinical_imaging,real_only,mmse,raw_margin,0.8984110713005066
xgboost,clinical_imaging,real_only,nwbv,raw_margin,0.29736452518651885
xgboost,clinical_imaging,real_only,ses,raw_margin,0.05955409035086632
xgboost,clinical_imaging,real_only,sex,raw_margin,0.20218294461568195
