algorithm,feature_set,training_condition,search_candidates,cv_fold_count,best_candidate_index,primary_metric,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
logistic_regression,clinical,real_plus_synthetic,14,15,4,balanced_accuracy,0.7877233877233877,0.07375121455575569,0.8603243978243978,0.06740440735092666,0.735042735042735,0.12347395599850348,0.8404040404040403,0.09230687475274922,0.8343676693676694,0.08777202896164918,0.7756274964970618,0.08426552043725881
svm,clinical,real_plus_synthetic,20,15,11,balanced_accuracy,0.7787101787101788,0.0750255912791633,0.8533281533281531,0.07044956376036805,0.7175213675213677,0.12302497716699597,0.8398989898989897,0.10320345916822418,0.8329631479631481,0.09345639309529463,0.7642756145456374,0.08904548753536788
decision_tree,clinical,real_plus_synthetic,20,15,7,balanced_accuracy,0.7171911421911422,0.0653819837782231,0.7866631054131055,0.07682051237555312,0.7081196581196582,0.14987515197827123,0.7262626262626263,0.15902756475017912,0.7564711269123033,0.08949726259609249,0.7170254185329804,0.07812621225303025
random_forest,clinical,real_plus_synthetic,20,15,4,balanced_accuracy,0.7692890442890443,0.0672147664766467,0.8611952861952862,0.057190939032193334,0.7183760683760685,0.14265697235420416,0.8202020202020202,0.13131701625954756,0.8273445998446,0.09001195170893563,0.7567311584639761,0.08557312521551785
xgboost,clinical,real_plus_synthetic,25,15,17,balanced_accuracy,0.7731546231546231,0.06746143407292512,0.8644554519554519,0.059882226037030084,0.8064102564102563,0.10991798588231665,0.7398989898989898,0.11800254035680816,0.7770032799444564,0.075949829046888,0.7857486899056114,0.0639590752889686
logistic_regression,clinical_imaging,real_plus_synthetic,14,15,7,balanced_accuracy,0.7723193473193474,0.046721892444918506,0.8616452991452991,0.04174489326844569,0.7128205128205128,0.1112310332459343,0.8318181818181817,0.11439812019920485,0.8355796055796054,0.08760023737474319,0.7603136940175262,0.05702852596464755
svm,clinical_imaging,real_plus_synthetic,20,15,3,balanced_accuracy,0.7678710178710179,0.05288651950168958,0.8551638176638175,0.044585123469130426,0.6867521367521368,0.1133937135311772,0.848989898989899,0.11004307622304157,0.8470270470270471,0.09478282199467214,0.7490185380345563,0.06255099991281318
decision_tree,clinical_imaging,real_plus_synthetic,20,15,19,balanced_accuracy,0.7237567987567989,0.060887580078071823,0.7517709142709142,0.0758245170840842,0.6247863247863248,0.1557550144169836,0.8227272727272726,0.19741209060487672,0.8478715728715728,0.13696905226436387,0.6933197870878142,0.07907543558894307
random_forest,clinical_imaging,real_plus_synthetic,20,15,4,balanced_accuracy,0.7696775446775447,0.06926637805902812,0.8399054649054648,0.06941248240390767,0.7307692307692306,0.08105025050920354,0.8085858585858585,0.14476019737273615,0.8209560374266257,0.10254886408707792,0.76719860815513,0.06040618745397716
xgboost,clinical_imaging,real_plus_synthetic,25,15,8,balanced_accuracy,0.7514763014763016,0.08124669436474226,0.8292281792281793,0.0813732528376416,0.7837606837606839,0.08892997078269789,0.719191919191919,0.14874916349837117,0.7616653281359163,0.11271659965409346,0.7665229713925367,0.071747319702325
