algorithm,feature_set,training_condition,search_candidates,cv_fold_count,best_candidate_index,primary_metric,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
logistic_regression,clinical,real_only,14,15,7,balanced_accuracy,0.8004273504273504,0.07134713117248417,0.8811285936285936,0.06414614080042165,0.7341880341880341,0.11672691847628108,0.8666666666666666,0.10375561689834102,0.8633166833166833,0.0822737939873942,0.787311807552845,0.08173575570976498
svm,clinical,real_only,20,15,11,balanced_accuracy,0.8053030303030303,0.08047144820154521,0.8774022274022274,0.062050446508204904,0.7722222222222223,0.11817301848643638,0.8383838383838383,0.10633682166048115,0.8416814666814667,0.08414724869986002,0.8006716199010051,0.08693446468717293
decision_tree,clinical,real_only,20,15,0,balanced_accuracy,0.7247280497280497,0.07758855633144057,0.816404428904429,0.055255215379903466,0.7029914529914532,0.11055085575729931,0.7464646464646465,0.15226749241382842,0.7658812429400664,0.11217662115000471,0.7234430280327332,0.07783701759964418
random_forest,clinical,real_only,20,15,17,balanced_accuracy,0.7507770007770008,0.05772826874279353,0.8474990287490287,0.05707632435274268,0.6914529914529915,0.12865022451915498,0.81010101010101,0.1388787875114517,0.8146983571983573,0.09506728050019374,0.7353674706230008,0.07495214714512591
xgboost,clinical,real_only,25,15,4,balanced_accuracy,0.7670551670551671,0.06831913819856497,0.855382349132349,0.06125122300264281,0.7346153846153848,0.13120006120276737,0.7994949494949495,0.13714330048854345,0.8105243122890181,0.09621956084527215,0.7599347906244457,0.084467796462762
logistic_regression,clinical_imaging,real_only,14,15,11,balanced_accuracy,0.8110722610722612,0.07644174357981363,0.8760133385133385,0.062104918870910825,0.783760683760684,0.09669269715346147,0.8383838383838383,0.10275016381328435,0.8441340141340142,0.08720844270750369,0.8093428900675278,0.0762490340738856
svm,clinical_imaging,real_only,20,15,11,balanced_accuracy,0.7831779331779332,0.08593637375278457,0.871396658896659,0.05587263971386445,0.735042735042735,0.11273468633912678,0.8313131313131313,0.16795796064256638,0.841026936026936,0.09805643097541357,0.7769259050128615,0.07753583831121881
decision_tree,clinical_imaging,real_only,20,15,2,balanced_accuracy,0.7616938616938617,0.05725316793751197,0.8150900025900025,0.06714011732159313,0.6602564102564104,0.13160034198647702,0.8631313131313132,0.12825101013183773,0.8598063048063048,0.10827990631215167,0.7319982097175077,0.07888128537483603
random_forest,clinical_imaging,real_only,20,15,4,balanced_accuracy,0.7743978243978246,0.047662617223384704,0.852894327894328,0.05609426666189679,0.664957264957265,0.1176991662030305,0.8838383838383838,0.08979394612067372,0.8734550634550636,0.07941198601683117,0.7456248235195603,0.07274418567023193
xgboost,clinical_imaging,real_only,25,15,14,balanced_accuracy,0.7872183372183373,0.0630023606798363,0.8617100492100493,0.06131809166682707,0.7350427350427352,0.12347395599850347,0.8393939393939394,0.0883131030076541,0.8355350205350206,0.07348970350380582,0.7750524512355176,0.08008936707110723
